content_key,show_id,type,title,release_year,date_added,year_added,month_added,country,primary_country,language,popularity,vote_average,vote_count,has_valid_votes,weighted_rating,genres_harmonized,genre
movies_278778,278778,Movie,Dancing Ninja,2010,2010-06-07,2010,6,"United States of America, South Korea, Canada",United States of America,en,3.896,5.8,14,True,6.57,"Action, Comedy, Crime",Action
movies_278778,278778,Movie,Dancing Ninja,2010,2010-06-07,2010,6,"United States of America, South Korea, Canada",United States of America,en,3.896,5.8,14,True,6.57,"Action, Comedy, Crime",Comedy
movies_278778,278778,Movie,Dancing Ninja,2010,2010-06-07,2010,6,"United States of America, South Korea, Canada",United States of America,en,3.896,5.8,14,True,6.57,"Action, Comedy, Crime",Crime
movies_52321,52321,Movie,The Sentiment of the Flesh,2010,2010-12-29,2010,12,France,France,fr,3.896,3.821,14,True,6.43,"Romance, Drama, Thriller",Romance
movies_52321,52321,Movie,The Sentiment of the Flesh,2010,2010-12-29,2010,12,France,France,fr,3.896,3.821,14,True,6.43,"Romance, Drama, Thriller",Drama
movies_52321,52321,Movie,The Sentiment of the Flesh,2010,2010-12-29,2010,12,France,France,fr,3.896,3.821,14,True,6.43,"Romance, Drama, Thriller",Thriller
movies_24246,24246,Movie,Basement Jack,2010,2010-07-25,2010,7,United States of America,United States of America,en,3.891,4.393,14,True,6.47,Horror,Horror
movies_57173,57173,Movie,Monsterwolf,2010,2010-10-09,2010,10,United States of America,United States of America,en,3.89,3.707,29,True,6.23,"TV Movie, Fantasy, Horror",TV Movie
movies_57173,57173,Movie,Monsterwolf,2010,2010-10-09,2010,10,United States of America,United States of America,en,3.89,3.707,29,True,6.23,"TV Movie, Fantasy, Horror",Fantasy
movies_57173,57173,Movie,Monsterwolf,2010,2010-10-09,2010,10,United States of America,United States of America,en,3.89,3.707,29,True,6.23,"TV Movie, Fantasy, Horror",Horror
movies_62368,62368,Movie,Cat Shit One,2010,2010-07-17,2010,7,Japan,Japan,ja,3.886,5.9,47,True,6.48,"Animation, War",Animation
movies_62368,62368,Movie,Cat Shit One,2010,2010-07-17,2010,7,Japan,Japan,ja,3.886,5.9,47,True,6.48,"Animation, War",War
movies_51297,51297,Movie,"Goodbye, Someday",2010,2010-01-23,2010,1,"South Korea, Japan, Thailand",South Korea,ja,3.883,5.6,15,True,6.55,"Drama, Romance",Drama
movies_51297,51297,Movie,"Goodbye, Someday",2010,2010-01-23,2010,1,"South Korea, Japan, Thailand",South Korea,ja,3.883,5.6,15,True,6.55,"Drama, Romance",Romance
movies_85441,85441,Movie,"Cairo 6,7,8",2010,2010-12-22,2010,12,Egypt,Egypt,ar,3.878,7.379,70,True,6.84,Drama,Drama
movies_59112,59112,Movie,Small World,2010,2010-12-16,2010,12,"France, Germany",France,fr,3.875,6.4,34,True,6.59,Drama,Drama
movies_63706,63706,Movie,Mandrake,2010,2010-09-11,2010,9,,Unknown,en,3.874,3.5,25,True,6.26,"Horror, TV Movie",Horror
movies_63706,63706,Movie,Mandrake,2010,2010-09-11,2010,9,,Unknown,en,3.874,3.5,25,True,6.26,"Horror, TV Movie",TV Movie
